ev_id,ev_type,regis_no,ntsb_no,ev_date,ev_time,ev_city,ev_country,latitude,longitude,acft_category,acft_make,acft_model,num_eng,DAMAGE,flight_type,afm_hrs,date_last_insp,afm_hrs_last_insp,light_condition,wmc,gust_ind,on_ground_collision,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,ev_highest_injury,flight_phase,defining_event,survivors_b,pilot_flight_time_model,pilot_flight_time_total,pilot_flight_time_categ,SOURCE
20080211X00175,Accident,N530NA,DFW08RA039,10/01/2008,1907,Pitt Meadows,CA,049130N,0122412W,Helicopter,Eurocopter France,AS350B3,,Substantial,External Load,,,,,,F,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080107X00026,Accident,N15EX,SEA08LA057,01/01/2008,2230,Sonoma,USA,381326N,1222659W,Airplane,Barnard/Stancil,Glastar,1,Substantial,Personal,340.0,2007-01-01 00:00:00,,Day,Visual Meteorological Cond,T,N,,,,0,0,3,0,3,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080107X00026,Accident,N8037W,SEA08LA057,01/01/2008,2230,Sonoma,USA,381326N,1222659W,Airplane,PIPER,PA 28-180,1,Minor,Personal,2865.0,2007-04-01 00:00:00,75.0,Day,Visual Meteorological Cond,T,N,,,,0,0,3,0,3,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080109X00036,Accident,N579RM,DFW08CA054,01/01/2008,2200,Arcola,USA,293022N,0952836W,Airplane,Micco Aircraft Company,MAC-145B,1,Substantial,Personal,516.0,2007-09-01 00:00:00,,Day,Visual Meteorological Cond,F,,,,,0,0,1,0,1,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080107X00027,Accident,N398J,DFW08LA055,03/01/2008,825,Oklahoma City,USA,035321N,0973829W,Airplane,Pilatus,PC-12/45,1,,Personal,1871.0,,,Night,Visual Meteorological Cond,T,,1,0,0,0,0,8,0,9,FATL,calcular,calcular,T,0,0,calcular,POST_1982
20080115X00051,Accident,N24965,DEN08CA047,02/01/2008,2230,Loveland,USA,040276N,0010504W,Airplane,Cessna,152,1,Substantial,Instructional,5835.2998046875,2007-11-01 00:00:00,,Day,Visual Meteorological Cond,T,,,,,0,0,1,0,1,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080115X00047,Accident,N758FQ,MIA08LA035,05/01/2008,2045,Spotsylvania,USA,038128N,0773515W,Airplane,Cessna,R172K,1,Substantial,Personal,10985.0,2007-03-01 00:00:00,54.0,Day,Visual Meteorological Cond,T,,,,,0,1,0,0,1,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080123X00096,Accident,N969PZ,NYC08LA075,05/01/2008,2115,Laurel,USA,039436N,0764940W,Airplane,DEAN PATRICK G,GENESIS,1,Substantial,Personal,5.0,2007-06-29 00:00:00,5.0,Day,Visual Meteorological Cond,T,,,,,0,1,0,0,1,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080116X00063,Accident,N509FN,ANC08MA038,05/01/2008,1743,Kodiak,USA,057452N,0152287W,Airplane,PIPER,PA-31-350,2,Substantial,,13130.0,2007-12-18 00:00:00,27.0,Day,Visual Meteorological Cond,F,,,,,6,1,0,3,10,FATL,calcular,calcular,T,0,0,calcular,POST_1982
20080114X00044,Accident,N109ND,MIA08LA036,06/01/2008,1510,Miami,USA,253726N,0803426W,Airplane,Piper,PA-28-161,1,Substantial,Instructional,7059.0,2007-11-01 00:00:00,52.0,Day,Visual Meteorological Cond,T,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080122X00087,Accident,N801DS,NYC08LA077,07/01/2008,2345,DeLand,USA,028594N,0811758W,Helicopter,BELL,407,1,Substantial,Positioning,3895.0,,,Day,Visual Meteorological Cond,T,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
